Date,city,state_id,Venue,Rating,Level,state_name,county_name,lat,lng,population,density,source,zips,id
"October 22, 2018",Houston,TX,Toyota Center,Positive,7,Texas,Harris,29.7869,-95.3905,5446468.0,1401.0,polygon,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77046 77045 77044 77040 77048 77201 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77091 77093 77099 77053 77346 77345 77546 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77094 77096 77090 77098 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77043 77041 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77450 77082 77089 77088 77083 77081 77080 77087 77086 77085 77084 77092 77042 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77202 77203 77204 77205 77206 77207 77208 77209 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840089687
"October 24, 2018",Mosinee,WI,Central Wisconsin Airport,Negative,-9,Wisconsin,Marathon,44.7874,-89.6839,4002.0,196.0,polygon,54455,1840101758
"October 26, 2018",Charlotte,NC,Bojangles' Coliseum,Negative,3,North Carolina,Mecklenburg,35.2079,-80.8304,1467362.0,1081.0,polygon,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28227 28226 28278 28270 28273 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28223 28224 28228 28229 28230 28231 28232 28233 28234 28235 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28274 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299,1840062909
"October 27, 2018",Murphysboro,IL,Southern Illinois Airport,Negative,-20,Illinois,Jackson,37.7679,-89.3321,9173.0,563.0,polygon,62966,1840019808
"October 31, 2018",Fort Myers,FL,Hertz Arena,Positive,3,Florida,Lee,26.6195,-81.8303,79943.0,774.0,polygon,33913 33916 33966 33901 33907 33905 33902 33994,1840011796
"November 1, 2018",Columbia,MO,Columbia Regional Airport,Positive,10,Missouri,Boone,38.9477,-92.3255,139945.0,716.0,polygon,65202 65203 65201 65215 65211 65216 65217 65218 65299,1840046265
"November 2, 2018",Huntington,WV,Tri-State Airport,Positive,31,West Virginia,Cabell,38.4109,-82.4344,194155.0,1120.0,polygon,25703 25702 25701 25705 25704 25706 25708 25709 25710 25711 25712 25713 25714 25716 25717 25718 25719 25720 25721 25722 25723 25724 25725 25726 25727 25728 25729 25755 25772 25773 25774 25775 25776 25777 25778,1840098202
"November 2, 2018",Indianapolis,IN,Southport High School,Positive,7,Indiana,Marion,39.7771,-86.1458,1564699.0,921.0,polygon,46218 46219 46217 46214 46260 46268 46224 46228 46183 46231 46234 46235 46236 46237 46239 46250 46208 46201 46203 46202 46205 46204 46256 46254 46259 46227 46226 46225 46222 46221 46220 46229 46113 46278 46241 46240 46206 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298,1840110702
"November 3, 2018",Belgrade,MT,Bozeman Yellowstone International Airport,Positive,11,Montana,Gallatin,45.7796,-111.1751,15975.0,867.0,polygon,59714,1840049191
"November 3, 2018",Pensacola,FL,Pensacola International Airport,Positive,2,Florida,Escambia,30.4427,-87.1886,344400.0,897.0,polygon,32501 32504 32503 32502 32513 32522 32524 32591,1840012515
