Country of president,President,Location country,Location city,Date start,Date end,Subject,President popularity,US favourability,
USA,OBAMA,Canada,Ottawa,2/19/2009,2/19/2009,Met with Prime Minister Harper.,88,68,
USA,OBAMA,Turkey,"Ankara, Istanbul",4/5/2009,4/7/2009,"Met with President Gul and Prime Minister Erdogan; addressed the Grand 
National Assembly.",-,,
USA,OBAMA,Mexico,Mexico City,4/16/2009,4/17/2009,Met with President Calderon.,55,69,
USA,OBAMA,Saudi Arabia,Riyadh,6/3/2009,6/4/2009,Met with King Abdullah.,-,,
USA,OBAMA,Egypt,Cairo,6/4/2009,6/4/2009,Met with President Mubarak and delivered and address at Cairo University.,-,,
USA,OBAMA,Germany,"Dresden, Weimar, Landstuhl",6/4/2009,6/5/2009,"Met with Chancellor Merkel, visited the Buchenwald concentration camp and 
visited wounded U.S. military personnel.",93,64,
USA,OBAMA,France,"Paris, Caen",6/5/2009,6/7/2009,"Met with President Sarkozy and dedicated the new visitor center at the U.S. 
Military Cemetery in Normandy.",91,75,
USA,OBAMA,Russia,Moscow,7/6/2009,7/8/2009,Met with President Medvedev and Prime Minister Putin.,37,44,
USA,OBAMA,Vatican City,,7/10/2009,7/10/2009,Audience with Pope Benedict XVI.,-,,
USA,OBAMA,Ghana,"Accra, Cape Coast",7/10/2009,7/11/2009,Met with President Mills and addressed Parliament.,,,
USA,OBAMA,Mexico,Guadalajara,8/9/2009,8/10/2009,Attended the North American Leaders’ Summit.,55,69,
USA,OBAMA,Denmark,Copenhagen,10/2/2009,10/2/2009,"Addressed a session of the International Olympic Committee and met with 
Prime Minister Rasmussen.",-,,
USA,OBAMA,Japan,Tokyo,11/13/2009,11/14/2009,Met with Emperor Akihito and Prime Minister Hatoyama.,85,59,
USA,OBAMA,China,"Shanghai, Beijing",11/15/2009,11/18/2009,"Met with President Hu, National People’s Congress Chairman Wu, and Premier 
Wen. Visited the Great Wall.",-,,
USA,OBAMA,South Korea,"Osan, Seoul",11/18/2009,11/19/2009,Met with President Lee.,81,78,
USA,OBAMA,Norway,Oslo,12/10/2009,12/11/2009,Met with King Harald V and Queen Sonja. Received the Nobel Peace Prize.,-,,
USA,OBAMA,Czech Republic,Prague,4/8/2010,4/9/2010,"Signed Strategic Arms Reduction Treaty with Russia. Also met with the 
Presidents of the Czech Republic, Estonia, Latvia, and Romania; and with 
the Prime Ministers of Bulgaria, Croatia, the Czech Republic, Hungary, 
Lithuania, Poland, Slovakia, and Slovenia.",SATU END,,
USA,OBAMA,India,"Mumbai, New Delhi",11/6/2010,11/9/2010,"Attended U.S.-India Business and Entrepreneurship Summit in Mumbai. Met 
with Prime Minister Singh and President Patil. Addressed the Indian 
Parliament.",,,
USA,OBAMA,Indonesia,Jakarta,11/9/2010,11/10/2010,Met with President Yudhoyono.,67,59,
USA,OBAMA,Brazil,"Brasilia, Rio de Janeiro",3/19/2011,3/21/2011,Met with President Roussef.,63,62,
USA,OBAMA,Chile,Santiago,3/21/2011,3/22/2011,Met with President Pinera.,,,
USA,OBAMA,El Salvador,San Salvador,3/22/2011,3/23/2011,Met with President Funes.,,,
USA,OBAMA,Ireland,"Dublin, Farmleigh, Moneygall",5/23/2011,5/23/2011,"Met with President McAleese and Prime Minister Kenny. Visited ancestral 
home.",,,
USA,OBAMA,United Kingdom,London,5/23/2011,5/26/2011,"Met with Queen Elizabeth II, Prime Minister Cameron, and Labour Party 
leader Miliband.",75,61,
USA,OBAMA,Poland,Warsaw,5/27/2011,5/28/2011,Met with President Komorowski and Prime Minister Tusk.,52,70,
USA,TRUMP,Saudi Arabia,Riyadh,5/20/2017,5/22/2017,"Met with King Salman bin Abdel Aziz Al-Saud. Signed military sales 
agreement. Met with leaders of the Gulf Cooperation Council.",NaN,,
USA,TRUMP,Israel,Jerusalem,5/22/2017,5/23/2017,"Met with President Reuven Rivlin and Prime Minister Benjamin Netanyahu. 
Visited the Western Wall and Yad Vashem.",56,81,
USA,TRUMP,Palestinian Authority,Bethlehem,5/23/2017,5/23/2017,Met with President Mahmoud Abbas.,NaN,,
USA,TRUMP,Italy,Rome,5/23/2017,5/24/2017,Met with Prime Minister Paolo Gentiloni.,25,61,
USA,TRUMP,Vatican City,,5/24/2017,5/24/2017,Met with Pope Francis and Secretary of State Cardinal Pietro Parolin.,,,
USA,TRUMP,Poland,Warsaw,7/5/2017,7/6/2017,"Met with President Andrzej Duda, delivered a public address, and addressed 
the Three Seas Summit.",23,73,
USA,TRUMP,France,Paris,7/13/2017,7/14/2017,"Official visit. Met with President Emmanuel Macron. Commemorated Bastille 
Day and the entry of the United States into World War I.",14,46,
USA,TRUMP,Japan,"Kawagoe, Tokyo",11/5/2017,11/7/2017,Met with Prime Minister Shinzo Abe and Emperor Akihito.,24,57,
USA,TRUMP,South Korea,"Osan, Seoul",11/7/2017,11/8/2017,"Met with President Moon Jae-In. Visited U.S. Military personnel at 
Garrisons Humphreys and Yongsan.",17,75,
USA,TRUMP,China,Beijing,11/8/2017,11/10/2017,Met with President Xi Jinping. State Dinner.,,,
USA,TRUMP,Singapore,Singapore,6/10/2018,6/13/2018,"Participated in the summit with North Korean leader Kim Jong-un and 
bilateral events with Singaporean Prime Minister Lee Hsien Loong.",,,
USA,TRUMP,United Kingdom,London,7/12/2018,7/13/2018,Met with Queen Elizabeth II and Prime Minister Theresa May.,28,50,
USA,TRUMP,Finland,Helsinki,7/16/2018,7/16/2018,Bilateral meeting with Russian President Vladimir Putin.,11,Voice of the people,
USA,TRUMP,France,Paris,11/10/2018,11/11/2018,"Commemorated the 100th anniversary of the end of the WWI and met with 
French President Emmanuel Macron.",9,38,
USA,TRUMP,Vietnam,Hanoi,2/26/2019,2/28/2019,"Attended a summit meeting with North Korean leader Kim Jong-un. Also met 
with President Nguyễn Phú Trọng and Prime Minister Nguyễn Xuân Phúc. Trump 
made a refueling stop at an airbase in Qatar on the trip to Vietnam.",65,Voice of the people,https://en.wikipedia.org/wiki/2019_North_Korea%E2%80%93United_States_Hanoi_Summit
USA,TRUMP,Japan,Tokyo,5/25/2019,5/28/2019,State Visit. Met with Emperor Naruhito and Prime Minister Shinzō Abe.,30,67,
USA,TRUMP,United Kingdom,"London,
Portsmouth",6/3/2019,6/5/2019,"State Visit.[34] Met with Queen Elizabeth II and Prime Minister Theresa May. 
Laid a wreath on the Tomb of the Unknown Warrior in Westminster Abbey. 
Attended the 75th anniversary of D-Day commemorative ceremonies.",28,50,
USA,TRUMP,Ireland,"Shannon,
County Clare",6/5/2019,6/6/2019,"Met with Taoiseach Leo Varadkar. Spent one night at his International golf 
resort in Doonbeg.",,,
USA,TRUMP,France,"Colleville,
Caen",6/6/2019,6/6/2019,"Met with President Emmanuel Macron. Attended the 75th anniversary of D-Day 
memorial ceremonies. Visited the Normandy American Cemetery and Memorial.",9,38,
USA,TRUMP,Ireland,"Shannon,
County Clare",6/6/2019,6/7/2019,Spent one night at his International golf resort in Doonbeg.,,,
USA,TRUMP,South Korea,"Seoul,
Korean Demilitarized Zone",6/29/2019,6/30/2019,"Met with President Moon Jae-in. Visited the Korean Demilitarized Zone. 
Attended the Koreas–United States DMZ Summit with President Moon and North 
Korean leader Kim Jong-un at the Inter-Korean Freedom House on the southern 
side of the Joint Security Area of the Korean Demilitarized Zone. Visited 
U.S. troops at Osan Air Base.",44,80,
USA,TRUMP,North Korea,Joint Security Area,6/30/2019,6/30/2019,"Briefly walked into the northern side of the Joint Security Area of the 
Korean Demilitarized Zone, accompanied by North Korean leader Kim Jong-un, 
becoming the first sitting U.S. president to enter North Korea.",,,
